aliquotiens|aliquotie_ns : adv
aliquoties|aliquotie_s : adv
aliter|aliter : adv
aliunde|aliunde : adv
alius|alius, alia, aliud : a
allabor|alla_bor, alla_bi_, allapsus sum : v3 dep
allaboro|allabo_ro_, allabo_ra_re, allabo_ra_vi_, allabo_ra_tum : v1
allapsus|alla_psus, alla_psu_s : m
allatro|alla_tro_, alla_tra_re, alla_tra_vi_, alla_tra_tum : v1
allecto|allecto_, allecta_re, allecta_vi_, allecta_tum : v1
allegatio|alle_ga_tio_, alle_ga_tio_nis : f
allego|allego_, allegere, alle_gi_, alle_ctum : v3
allego|alle_go_, alle_ga_re, alle_ga_vi_, alle_ga_tum : v1
allevo|allevo_, alleva_re, alleva_vi_, alleva_tum : v1
allicio|allicio_, allicere, allexi_, allectum : v3
allido|alli_do_, alli_dere, alli_si_, alli_sum : v3
alligo|alligo_, alliga_re, alliga_vi_, alliga_tum : v1
allino|allino_, allinere, alle_vi_, allitum : v3
allocutio|allocu_tio_, allocu_tio_nis : f
alloquium|alloquium, alloqu(i)i_ : n
alloquor|alloquor, alloqui_, allocu_tus sum : v3 dep
alludo|allu_do_, allu_dere, allu_si_, allu_sum : v3
alluo|alluo_, alluere, allui_ : v3
alluvies|alluvie_s, alluvie_i_ : f
almus|almus, alma, almum : a
alnus|alnus, alni_ : f
alo|alo_, alere, alui_, altum/alitum : v3
alpinus|Alpi_nus, Alpi_na, Alpi_num : a
alsius|alsius, alsia, alsium : a
alsus|alsus, alsa, alsum : a
altaria|alta_ria, alta_rium : npl
alte|alte_ : adv
alter|alter, altera, alterum : a
altercatio|alterca_tio_, alterca_tio_nis : f
altercor|altercor, alterca_ri_, alterca_tus sum : v1 dep
alterno|alterno_, alterna_re, alterna_vi_, alterna_tum : v1
alternus|alternus, alterna, alternum : a
alteruter|alteruter, alterutra, alterutrum : a
altisonus|altisonus, altisona, altisonum : a
altitonans|altitona_ns, altitonantis : a
altitudo|altitu_do_, altitu_dinis : f
altivolans|altivola_ns, altivolantis : a
altor|altor, alto_ris : m
altrix|altrix, altri_cis : f
altum|altum, alti_ : n
altus|altus, alta, altum : a
